family,reach_km,reach_bbox_deg2,reach_hull
Ndu,127.00685432681377,0.6917904000000022,5190.37002796107
Ramu,125.06785460602022,0.6630384799999832,4997.75788851657
Koman,122.84232887024274,0.552454357399999,3622.83530084654
Dizoid,122.83918643029948,0.9995093640000009,5925.93782518458
Otomaco-Taparita,121.51844682404266,0.03326454877151003,2.39860861329944
Mailuan,119.7270117121694,0.578265029999999,2697.37676811767
Eastern Trans-Fly,118.18644060977722,0.7735914599999966,3017.81337687091
Harakmbut,117.53571282698731,0.5571573579000078,2.38849768184836
Blue Nile Mao,116.98242501975417,0.48505268700000054,1189.32454886978
Dagan,116.95890461531816,0.5339627999999971,2897.84602630616
Keresan,114.37542562021123,0.5833911999999936,13.1387844306672
Suki-Gogodala,113.82134544224017,0.2893624799999947,1794.54154430144
East Strickland,113.56409083314693,0.3886898700000014,2310.81425826332
Tamaic,113.55692602035472,0.3911417600000026,2799.76915614283
Angan,111.3926402542413,0.7358014799999981,6216.66020092543
Chimakuan,109.22246496644748,0.005811504349993198,31.4700048718935
Pomoan,108.54406493288569,0.8627327099999947,8546.85312066113
Border,104.83454609531407,0.6321534999999955,4647.67000264008
Northern Daly,104.67068093297878,0.011282400000000416,0.0338593122750149
Jarawa-Onge,104.03306007437749,0.1716229900000069,0.444268369463245
Narrow Talodi,103.90734628025704,0.672697259999999,3634.44811954707
Eleman,99.8365216038303,0.37781847999999363,1179.05497006567
Bunaban,99.68417284019922,0.4158719999999996,2.68699224248241
Chiquitano,92.03567225195765,0.0856574087720003,2.48352192805514
West Bird's Head,90.82331861093667,0.4181453900000134,3470.4856031144
East Bird's Head,90.66874094868884,0.35568924999999035,1835.4065979164
Eastern Jebel,90.26054340011322,0.548894159999998,3836.38365208919
Shastan,87.32188232598342,0.6851822933280053,5871.90594342307
Palaihnihan,87.02275621175919,0.3555240000000007,4.98311012983304
Greater Kwerba,86.51304605216461,0.4874529900000081,3378.11314418484
West Bomberai,86.30433772977632,0.268717680000007,751.691600743638
Kunimaipan,85.5016997834234,0.1170079500000008,385.007187301996
Haida,82.83644044262587,0.0529391055240018,1.22158856789957
Mombum-Koneraw,78.54733644713026,0.07254656500000069,0.702005433564515
Bosavi,77.23858969885293,0.2766342999999916,1712.68484675757
Mairasic,73.73329583159408,0.219601799999999,1245.84077063214
Maningrida,72.94241735935032,0.17691094750000477,1437.52022945322
North Bougainville,71.56152121502471,0.20724494999999346,772.214792196223
Eastern Daly,70.48894080009472,0.20348280000000762,0.679629786597699
Kolopom,70.01319484279678,0.23786145000000197,1142.14891007168
Sentanic,69.04158877086343,0.14900721000000194,322.533106974749
Xincan,68.94965917397832,0.17013221280899904,959.9973537599
Lencan,67.61620174207803,0.06569222558400119,0.764584554736797
Wintuan,67.38237603187268,0.21923747999999507,2.30094603345203
South Bougainville,67.16644492803081,0.17524458000000204,1507.24890173177
Arafundi,66.90037239844376,0.17481000000000635,1059.4563377403
Maybratic,65.14908526592534,0.04181760000000158,0.00627098490450496
Limilngan-Wulna,65.06186812568491,0.07428480000000053,0.605256640970602
Baining,64.05021578789457,0.22200320000000032,2023.16507762458
Tarascan,63.844100073903626,0.1529774999999991,0.867834941059471
Turama-Kikori,63.66961826152091,0.1933262100000026,1055.29283735909
Yareban,58.85297976611008,0.1943444799999973,1360.92815107505
Bulaka River,58.22550590301219,0.1015479999999948,105.549326972401
Lepki-Murkim-Kembra,57.03382034756306,0.10310475000000296,605.958058321366
North-Eastern Tasmanian,54.727116777908414,0.13389312966400435,2.22668617177718
Pauwasi,54.0761361589654,0.157287900000006,1048.68124111103
Manubaran,53.310340369442535,0.11505515000000253,0.171311869564788
